Building Address,"Building Type
(Commercial Buildings1, 
Healthcare Facilities2, 
Educational Institutions3)","Building Size
(Large Size Commercial Buildings: 
i) Office Building, Retail Building, and Mixed Development - GFA ≥ 15,000 m2
ii) Hotel - GFA ≥ 7,000 m2

Small Size Commercial Buildings:: 
i) Office Building, Retail Building, and Mixed Development - GFA < 15,000 m2
ii) Hotel - GFA < 7,000 m2)",Public Sector,Year Obtained TOP/CSC,Green Mark Year of Award,Green Mark Rating,"Green Mark Status 
(Yes – Green Mark building;
No – non-Green Mark building)",Gross Floor Area (m2),Percentage of Air-conditioned Floor Area (%),Average Monthly Building Occupancy Rate (%) ,Number of Hotel Rooms,Type of Air-conditioning System,"Age of Newest Chiller/Air-conditioner
",Centralised Air-conditioning Plant Efficiency (kW/RT),Year of Last Chiller Plant Audit/ Health Check,Percentage Usage of LED (%),Installation of Solar PV (Y/N),"2016
Energy Use Intensity (EUI)
(kWh/m2.yr) ","2017
Energy Use Intensity
(EUI) 
(kWh/m2.yr) ","2018
Energy Use Intensity (EUI)
(kWh/m2.yr) ",EUI Performance Compared to the Previous Year (Improve/ Worsen),"Benchmarking - 
EUI Quartile",Voluntary Disclosure,postal_code,lat,lon,plan_area
"160 CHANGI ROAD, SINGAPORE 419728",Mixed Development,Small,No,2017.0,,,No,5036.0,0.9531374106433678,50.0,,Air Cooled Chilled Water Plant,1.0,,,70.0,N,11.405877680698968,81.03752978554408,104.93411239078632,Worsened,Top Quartile,Y,419728,1.3167232592555,103.902443640278,GEYLANG
"180 KITCHENER ROAD, SINGAPORE 208539",Retail,Large,No,2009.0,2018.0,Platinum,Yes,65640.0,0.620460085313833,93.0,,Water Cooled Chilled Water Plant,8.0,0.65,2018.0,77.0,Y,384.89590950639854,382.19558957952466,365.3450639853748,Improved,2nd Quartile,Y,208539,1.31138865009152,103.856626209616,KALLANG
"9 RAFFLES PLACE, SINGAPORE 048619",Office,Large,No,1998.0,2018.0,Platinum,Yes,102356.0,0.797725585212396,80.0,,Water Cooled Chilled Water Plant,3.0,0.59,2017.0,4.0,N,242.67693149400134,212.37415491031302,182.99209621321663,Improved,2nd Quartile,Y,048619,1.28348363276903,103.850574036014,DOWNTOWN CORE
"1 MAGAZINE ROAD, SINGAPORE 059567",Office,Large,No,1999.0,2017.0,Platinum,Yes,15769.0,0.9005009829412137,93.0,,Water Cooled Chilled Water Plant,4.0,0.65,2017.0,50.0,N,197.4412600672205,202.75243388927643,181.48447143128922,Improved,2nd Quartile,Y,059567,1.28842848666711,103.84230028531,SINGAPORE RIVER
"11 TANJONG KATONG ROAD, SINGAPORE 437157",Retail,Large,No,2014.0,2015.0,Gold,Yes,28938.0,1.0,90.0,,Water Cooled Chilled Water Plant,1.0,0.62,2016.0,31.0,N,462.6812150114037,430.67672264842076,396.015066694312,Improved,2nd Quartile,Y,437157,1.31461849889242,103.894738004496,GEYLANG
"101 THOMSON ROAD, SINGAPORE 307591",Mixed Development,Large,No,1984.0,,,No,65933.0,0.97779564102953,90.0,,Water Cooled Chilled Water Plant,10.0,,,3.0,N,284.4915254879954,281.3177392201174,276.82682040859663,Improved,3rd Quartile,Y,307591,1.31699088160901,103.843866811519,NOVENA
"731 NORTH BRIDGE ROAD, SINGAPORE 198699",Office,Small,No,2003.0,,,No,385.0,0.935064935064935,100.0,,"Others (Split Units, Unitary Systems)",10.0,,,0.0,N,200.7168831168831,196.8541038961039,220.26537662337662,Worsened,3rd Quartile,Y,198699,1.30290833120091,103.858792868088,ROCHOR
"50 CUSCADEN ROAD, SINGAPORE 249724",Office,Small,No,1980.0,,,No,7372.0,0.9716494845360825,90.0,,"Others (Split Units, Unitary Systems)",4.0,,,8.0,N,312.1983166033641,277.93354991861094,268.7614853499729,Improved,Bottom Quartile,Y,249724,1.30572373922754,103.82810604464,ORCHARD
"69 KEONG SAIK ROAD, SINGAPORE 089165",Hotel,Small,No,1997.0,,,No,757.0,1.0,75.0,25.0,"Others (Split Units, Unitary Systems)",3.0,,,100.0,N,221.22721268163804,234.47373844121532,228.19495376486128,Improved,2nd Quartile,Y,089165,1.28103483105731,103.841648101564,OUTRAM
"50 SOUTH BRIDGE ROAD, SINGAPORE 058682",Office,Small,No,2018.0,,,No,1006.0,0.8697813121272365,100.0,,"Others (Split Units, Unitary Systems)",0.0,,,100.0,N,129.06160164271049,6.5168986083499005,54.32984095427435,Worsened,Top Quartile,Y,058682,1.28769482359984,103.848230329512,SINGAPORE RIVER
