Address,2019 EUI,2020 EUI,2021 EUI,GFA,postal_code,plan_area
"26A AYER RAJAH CRESCENT, SINGAPORE 139963",2909.7322285714285,3747.8753142857145,4480.942885714286,35000.0,139963,QUEENSTOWN
"20 AYER RAJAH CRESCENT, SINGAPORE 139964",1903.4607449998696,2043.5498938694616,2213.995752431615,38349.0,139964,QUEENSTOWN
"6 FUSIONOPOLIS WAY, SINGAPORE 138636",1126.0738929744955,1157.4027538726334,1182.1218119230168,19173.0,138636,QUEENSTOWN
"396 ALEXANDRA ROAD, SINGAPORE 119954",749.1887577537826,712.9463963372608,712.223239358036,30469.0,119954,QUEENSTOWN
"5 TAMPINES CENTRAL 6, SINGAPORE 529482",615.2367591027227,622.2435214857056,592.9474906007923,39631.0,529482,TAMPINES
"50 SCIENCE PARK ROAD, SINGAPORE 117406",658.3863381020506,545.1450643776824,509.70121649976153,20970.0,117406,QUEENSTOWN
"2 FUSIONOPOLIS WAY, SINGAPORE 138634",508.45496322190655,503.36340324812454,491.1820064088558,41193.0,138634,QUEENSTOWN
"238 THOMSON ROAD, SINGAPORE 307683",307.47975906543127,482.905750293634,468.14900187925775,42570.0,307683,NOVENA
"11 OUTRAM ROAD, SINGAPORE 169078",454.46377574635505,447.36173802360565,458.8381526267068,17284.0,169078,BUKIT MERAH
"83 CLEMENCEAU AVENUE, SINGAPORE 239920",514.4087393294168,451.9333483722291,422.7725586679217,30809.0,239920,SINGAPORE RIVER
"491 RIVER VALLEY ROAD, SINGAPORE 248371",423.67710966985453,384.91865086875873,399.588613392891,26417.0,248371,TANGLIN
"2 HARBOURFRONT PLACE, SINGAPORE 098499",410.21151307103247,347.65381568523895,396.51403925710764,22722.0,098499,BUKIT MERAH
"750 CHAI CHEE ROAD, SINGAPORE 469000",407.91950225957237,520.5202390705085,360.1759734491438,141841.0,469000,BEDOK
"63 MARKET STREET, SINGAPORE 048942",457.8072558139535,377.9525690834473,343.66616689466485,18275.0,048942,DOWNTOWN CORE
"1 SCOTTS ROAD, SINGAPORE 228208",360.0263562861819,317.6380712767776,327.99785046044116,40939.0,228208,ORCHARD
"31 EXETER ROAD, SINGAPORE 239732",358.5132190697586,328.6809226196147,315.5146433947524,104962.0,239732,ORCHARD
"41 SCIENCE PARK ROAD, SINGAPORE 117610",316.0363461951025,277.1911259922155,304.9864592846854,32629.0,117610,QUEENSTOWN
"28 IRRAWADDY ROAD, SINGAPORE 329560",332.0570182963135,319.10667971864245,304.78687267259386,99091.0,329560,NOVENA
"1 GATEWAY DRIVE, SINGAPORE 608531",337.8161484805308,289.32588839504075,303.54432937073346,94046.0,608531,JURONG EAST
"10 KALLANG ROAD, SINGAPORE 208718",340.1659483328486,343.40363309447633,300.4117507073164,37819.0,208718,KALLANG
"4 FUSIONOPOLIS WAY, SINGAPORE 138635",304.50314101983514,290.5293853213779,299.40596443558854,33123.0,138635,QUEENSTOWN
"1 CLEANTECH LOOP, SINGAPORE 637141",302.22013923611115,289.6222684027777,298.3046902777778,28800.0,637141,WESTERN WATER CATCHMENT
"4 BATTERY ROAD, SINGAPORE 049908",353.8460465116279,301.9750904392765,295.50542635658917,15480.0,049908,DOWNTOWN CORE
"21 MEDIA CIRCLE, SINGAPORE 138562",324.05272407732866,297.461457723101,294.98093634055846,20484.0,138562,QUEENSTOWN
"80 MARINE PARADE ROAD, SINGAPORE 449269",326.11017583727227,249.48347361935933,287.77282824304126,99012.0,449269,MARINE PARADE
"23 CHURCH STREET, SINGAPORE 049481",348.24342468781083,298.4283898773345,281.0343546248204,36196.0,049481,OUTRAM
"1 TAMPINES CENTRAL 5, SINGAPORE 529508",356.1229663687222,296.0287518487557,280.99215098707475,15551.0,529508,TAMPINES
"1 RAFFLES LINK, SINGAPORE 039393",376.34125551267914,296.74744349503857,278.6431091510474,36280.0,039393,DOWNTOWN CORE
"50 COLLYER QUAY, SINGAPORE 049321",288.1138442521632,271.5194066749073,276.22927070457354,40450.0,049321,DOWNTOWN CORE
"1 SCIENCE PARK ROAD, SINGAPORE 117528",258.0460107684777,264.2544954898259,275.80436927487585,28602.0,117528,QUEENSTOWN
"984 UPPER CHANGI ROAD NORTH, SINGAPORE 506969",283.9112683146277,212.43334366303083,275.70515048115334,383038.0,506969,CHANGI
"12 SCIENCE PARK DRIVE, SINGAPORE 118225",265.4397361463551,249.44434627801618,267.97135606956385,75269.0,118225,QUEENSTOWN
"3 FRASER STREET, SINGAPORE 189352",298.3607613469985,255.47454507425226,257.39518929094334,71715.0,189352,DOWNTOWN CORE
"20 JALAN AFIFI, SINGAPORE 409179",338.21839266450917,329.9660913340525,252.48380079108233,27810.0,409179,GEYLANG
"350 ORCHARD ROAD, SINGAPORE 238868",258.1194544120046,225.98765495025282,237.47619678682108,49048.0,238868,ORCHARD
"360 ORCHARD ROAD, SINGAPORE 238869",277.32943922117755,239.85549276521968,236.34577615523108,29994.0,238869,ORCHARD
