Address,2019 EUI,"2019 Energy Ranking 
(1 being the least energy intensive building of the building type and size)",2020 EUI,"2020 Energy Ranking 
(1 being the least energy intensive building of the building type and size)",2021 EUI,"2021 Energy Ranking 
(1 being the least energy intensive building of the building type and size)",Building Type,Main Function,Building Size,TOP/CSC Year,Green Mark Award,Year of Green Mark Award,Green Mark Version,GFA,AC Area,AC Area Percentage,No. Of Hotel Rooms,Type of Air-conditioning System,Age  of Chiller,Air-con system efficiency (kW/RT),Date of Last Audit/Health Check,LED Percentage Usage,Installation of Solar PV,postal_code,lat,lon,plan_area
"1 HEMMANT ROAD, SINGAPORE 438675",1211.74217847769,16.0,122.12228346456693,7.0,806.9208372703413,14.0,"Civic, Community & Cultural Institution",Civic Institution,,1981.0,,,,7620.0,1524.0,0.2,0.0,Others,12.0,,,0.0,N,438675,1.31181803956659,103.891481910075,GEYLANG
"20 CLEMENTI AVENUE 5, SINGAPORE 129858",226.3227748091603,12.0,224.7516641221374,15.0,216.50946183206108,13.0,"Civic, Community & Cultural Institution",Civic Institution,,1989.0,,,,7860.0,6500.0,0.8269720101781171,0.0,Others,5.0,,,0.0,N,129858,1.31717214095504,103.766555843795,CLEMENTI
"51 ANG MO KIO AVENUE 9, SINGAPORE 569784",237.7520122798888,15.0,210.5162905468026,13.0,196.67252780352177,12.0,"Civic, Community & Cultural Institution",Civic Institution,,1986.0,Gold,2020.0,Existing Non-Residental Buildings ENRB: 2017,8632.0,8632.0,1,0.0,Others,10.0,,,5.0,N,569784,1.38500972217704,103.845095080578,ANG MO KIO
"21 KAMPONG JAVA ROAD, SINGAPORE 228892",194.13792010889975,10.0,208.40345709725872,12.0,190.94056280510702,11.0,"Civic, Community & Cultural Institution",Civic Institution,,2000.0,,,,21304.0,403.0,0.018916635373638753,0.0,Others,16.0,,,0.0,N,228892,1.31204343396145,103.846482122063,KALLANG
"30 BEDOK NORTH ROAD, SINGAPORE 469676",232.74016654532218,14.0,216.45977429923553,14.0,189.30362850382235,10.0,"Civic, Community & Cultural Institution",Civic Institution,,1985.0,,,,10988.0,8133.0,0.7401710957408082,0.0,Others,2.0,,,0.0,N,469676,1.33265639626911,103.937140063116,BEDOK
"11 BRANI WAY, SINGAPORE 098658",230.5229915962183,13.0,192.52478615376918,11.0,181.9015056775549,9.0,"Civic, Community & Cultural Institution",Civic Institution,,2006.0,Platinum,2019.0,Existing Building for Non-Residential buildings (version 3),39982.0,13673.0,0.34197889050072533,0.0,Water Cooled Chilled Water Plant,1.0,0.62,,30.0,N,098658,1.25776417588652,103.831774474826,BUKIT MERAH
"10 UBI AVENUE 3, SINGAPORE 408865",154.5446666283811,8.0,148.3429190834434,9.0,142.51477401941077,8.0,"Civic, Community & Cultural Institution",Civic Institution,,1999.0,Platinum,2019.0,Existing Building for Non-Residential buildings (version 3),17413.0,11168.0,0.6413599035203583,0.0,Water Cooled Chilled Water Plant,2.0,0.64,2018-02-27,0.0,N,408865,1.33019497893636,103.891361299885,GEYLANG
"2 JURONG WEST AVENUE 5, SINGAPORE 649482",175.1324531433034,9.0,148.5522598594299,10.0,138.38011518937913,7.0,"Civic, Community & Cultural Institution",Civic Institution,,2002.0,Platinum,2019.0,Existing Building for Non-Residential buildings (version 3),20488.0,8120.0,0.396329558766107,0.0,Air Cooled Chilled Water Plant,1.0,0.6,,0.0,N,649482,1.35088682996153,103.702111120107,JURONG WEST
"2 GUILLEMARD CLOSE, SINGAPORE397623",56.465907114280746,4.0,130.22786571577666,8.0,126.38589319881719,6.0,"Civic, Community & Cultural Institution",Civic Institution,,2019.0,Gold,2017.0,New Building for Non-Residential buildings (version 4.1),11498.0,10900.0,0.9479909549486867,0.0,Others,2.0,,,80.0,N,397623,1.30936454066679,103.879244977036,GEYLANG
"1 MOUNT PLEASANT ROAD, SINGAPORE 298333",108.60115949632737,7.0,2.667038300104932,1.0,116.17718356505772,5.0,"Civic, Community & Cultural Institution",Civic Institution,,1929.0,,,,30496.0,20000.0,0.6558237145855194,0.0,Others,10.0,,,0.0,N,298333,1.32862230231263,103.837652705219,NOVENA
"91 LOYANG WAY, SINGAPORE 508773",82.79775,6.0,80.33116142857143,6.0,77.75556428571429,4.0,"Civic, Community & Cultural Institution",Civic Institution,,2004.0,,,,7000.0,3000.0,0.42857142857142855,0.0,Others,2006.0,,,0.0,N,508773,1.38588112948254,103.971294886417,PASIR RIS
"9 PIONEER PLACE, SINGAPORE 627864",72.76919157894736,5.0,68.74487157894737,5.0,62.90797473684211,3.0,"Civic, Community & Cultural Institution",Civic Institution,,2004.0,Gold,2020.0,Existing Non-Residental Buildings ENRB: 2017,9500.0,3500.0,0.3684210526315789,0.0,Others,2006.0,,,0.0,N,627864,1.30700282135944,103.671858022856,PIONEER
"9 VERNON PARK, SINGAPORE 367828",44.756736238790914,2.0,61.53088846335101,4.0,38.22649161351131,2.0,"Civic, Community & Cultural Institution",Civic Institution,,1995.0,,,,301318.0,18965.0,0.06294014960938278,0.0,Others,2.0,,,60.0,N,367828,1.33989123228127,103.879392671481,TOA PAYOH
"QUEENSWAY, SINGAPORE 149051",47.43709442504909,3.0,42.640240290202925,3.0,37.92233526074624,1.0,"Civic, Community & Cultural Institution",Civic Institution,,1992.0,,,,36664.0,15000.0,0.4091206633209688,0.0,Others,10.0,,,45.0,N,149051,1.29515000032787,103.80129595549,QUEENSTOWN
"517 AIRPORT ROAD, SINGAPORE 539942",17.44671875,1.0,15.48921875,2.0,,,"Civic, Community & Cultural Institution",Civic Institution,,2003.0,,,,6400.0,74.0,0.0115625,0.0,Others,2.0,,,0.0,N,539942,1.35416945781262,103.898249658643,PAYA LEBAR
"35 AIRPORT BOULEVARD, SINGAPORE 819645",218.32319233173578,11.0,,,,,"Civic, Community & Cultural Institution",Civic Institution,,1999.0,,,,9598.0,5730.0,0.5969993748697645,0.0,Air Cooled Chilled Water Plant,20.0,,,60.0,Y,819645,1.34367463388469,103.980313025483,CHANGI
"278 MARINE PARADE ROAD, SINGAPORE 449282",342.9716329588015,39.0,309.79352434456933,40.0,416.74994943820224,40.0,"Civic, Community & Cultural Institution",Community Institution,,1999.0,,,,5340.0,3900.0,0.7303370786516854,0.0,Others,5.0,277.52,,70.0,N,449282,1.30487639012833,103.909640247727,MARINE PARADE
"5 TAMPINES AVENUE 3, SINGAPORE 529705",272.43139235855995,37.0,278.421144379133,38.0,279.6061480529023,39.0,"Civic, Community & Cultural Institution",Community Institution,,2013.0,Gold,2019.0,Existing Building for Non-Residential buildings (version 3),5444.0,1200.0,0.2204261572373255,0.0,Others,6.0,,,20.0,N,529705,1.34875950111412,103.935689637762,TAMPINES
"190 KENG LEE ROAD, SINGAPORE 308409",,,290.0416356986101,39.0,260.0940307242136,38.0,"Civic, Community & Cultural Institution",Community Institution,,2020.0,,,,6835.0,5326.0,Omit,0.0,Others,2.0,,,67.0,N,308409,1.31387787363584,103.841364046558,NOVENA
"2 CHOA CHU KANG LOOP, SINGAPORE 689687",225.28473168768446,36.0,202.9422766299973,36.0,247.31492084786692,37.0,"Civic, Community & Cultural Institution",Community Institution,,2016.0,Platinum,2016.0,New Building for Non-Residential buildings (version 4.1),7454.0,3320.0,0.4453984437885699,0.0,Water Cooled Chilled Water Plant,3.0,,,100.0,N,689687,1.38409587235577,103.744949359275,CHOA CHU KANG
"120 ADAM ROAD, SINGAPORE 289899",308.25336441021483,38.0,249.8074584515606,37.0,244.53719092014592,36.0,"Civic, Community & Cultural Institution",Community Institution,,1998.0,,,,7401.0,7000.0,0.9458181326847723,0.0,Others,9.0,,,20.0,N,289899,1.3306620041023,103.815929649997,NOVENA
"51 HOUGANG AVENUE 9, SINGAPORE 538776",197.66059480234262,34.0,179.90157576866767,35.0,182.9869875549048,35.0,"Civic, Community & Cultural Institution",Community Institution,,2015.0,,,,10928.0,4259.0,0.38973279648609077,0.0,Others,3.0,,,45.0,N,538776,1.37532253773567,103.88293193004,HOUGANG
"216 ANG MO KIO AVENUE 4, SINGAPORE 569897",171.98772638240166,29.0,154.33223293656772,30.0,179.43280849781527,34.0,"Civic, Community & Cultural Institution",Community Institution,,2017.0,Gold,2017.0,New Building for Non-Residential buildings (version 4.1),6637.0,2291.0,0.34518607804731055,0.0,Others,4.0,,,100.0,N,569897,1.37300750160253,103.837612421294,ANG MO KIO
"2 SENGKANG SQUARE, SINGAPORE 545025",178.43801952580196,30.0,163.32194735006973,32.0,178.84238319386333,33.0,"Civic, Community & Cultural Institution",Community Institution,,2004.0,,,,11472.0,9089.0,0.7922768479776848,0.0,Others,12.0,,,13.0,N,545025,1.3927855958876,103.893906098217,SENGKANG
"11 BEDOK NORTH STREET 1, SINGAPORE 469662",184.68547920265163,32.0,175.7497140656365,34.0,175.0629732505485,32.0,"Civic, Community & Cultural Institution",Community Institution,,2017.0,Platinum,2021.0,New Building for Non-Residential buildings (version 4.1),42842.0,16397.0,0.38273189860417345,0.0,Water Cooled Chilled Water Plant,4.0,0.57,2021-05-14,88.0,N,469662,1.32698499168096,103.931620621005,BEDOK
"6 FORT CANNING ROAD, SINGAPORE 179494",179.8583829582876,31.0,170.9331421514819,33.0,173.12106750823273,31.0,"Civic, Community & Cultural Institution",Community Institution,,2000.0,,,,14576.0,11809.0,0.8101673984632273,175.0,Water Cooled Chilled Water Plant,9.0,0.9,2017-07-21,50.0,N,179494,1.29747528172273,103.845019882844,MUSEUM
"1 ENGKU AMAN TURN, SINGAPORE408528",186.78683062276875,33.0,161.62898452994844,31.0,170.48550674335578,30.0,"Civic, Community & Cultural Institution",Community Institution,,2017.0,Platinum,2022.0,New Building for Non-Residential buildings (version 4.1),10084.0,7155.0,0.7095398651328838,0.0,Others,0.0,0.72,,100.0,N,408528,1.31645017621367,103.896596943037,GEYLANG
"170 GHIM MOH ROAD, SINGAPORE 279621",206.37330390615554,35.0,141.93286370782442,29.0,143.53478050550245,29.0,"Civic, Community & Cultural Institution",Community Institution,,1997.0,,,,8269.0,5788.0,0.6999637199177652,0.0,Others,9.0,,,10.0,N,279621,1.31232576631752,103.789595737544,QUEENSTOWN
"1 SEGAR ROAD, SINGAPORE 677738",154.63302650429802,27.0,141.8057163323782,28.0,135.2954566618911,28.0,"Civic, Community & Cultural Institution",Community Institution,,2007.0,,,,5584.0,3909.0,0.7000358166189111,0.0,Others,10.0,,,10.0,N,677738,1.38688900135978,103.771719585228,BUKIT PANJANG
"80 JURONG EAST STREET 21, SINGAPORE 609607",149.5726122298171,26.0,130.62438573803806,27.0,128.50260484019952,27.0,"Civic, Community & Cultural Institution",Community Institution,,2013.0,Platinum,2022.0,New Building for Non-Residential buildings (version 4),27065.0,20238.0,0.7477554036578608,0.0,Water Cooled Packaged Unit,5.0,0.65,2016-02-02,0.0,N,609607,1.33585182095541,103.744668546593,JURONG EAST
"12 YISHUN AVENUE 5, SINGAPORE 768992",111.27716767260416,21.0,119.11955689680553,25.0,123.09722508464596,26.0,"Civic, Community & Cultural Institution",Community Institution,,1993.0,,,,6793.0,462.0,0.06801118798763434,0.0,Others,2.0,,,10.0,N,768992,1.43000273433477,103.831088998547,YISHUN
"60 BUANGKOK VIEW, SINGAPORE 534012",118.38410490433253,24.0,116.96747855729052,24.0,115.25811524081813,25.0,"Civic, Community & Cultural Institution",Community Institution,,2013.0,,,,9094.0,1200.0,0.13195513525401364,0.0,Others,1.0,,,0.0,N,534012,1.38034768338275,103.885677570325,HOUGANG
"1 ORCHARD ROAD, SINGAPORE 238824",116.771187141217,23.0,105.23979793340986,22.0,106.72516188289323,24.0,"Civic, Community & Cultural Institution",Community Institution,,1987.0,GoldPlus,2017.0,Existing Building for Non-Residential buildings (version 3),8710.0,7867.0,0.9032146957520092,110.0,Water Cooled Chilled Water Plant,6.0,0.67,2020-06-29,85.0,Y,238824,1.2975995946239,103.848124401147,MUSEUM
"20 SEMBAWANG CRESCENT, SINGAPORE 757092",100.62685636031648,19.0,106.36935483870968,23.0,106.71092209373099,23.0,"Civic, Community & Cultural Institution",Community Institution,,2013.0,,,,6572.0,441.0,0.06710286062081558,0.0,Others,4.0,,,0.0,N,757092,1.44482697682231,103.81737852086,SEMBAWANG
"1 TURF CLUB AVENUE, SINGAPORE 738078",158.53902778635822,28.0,121.79147162673992,26.0,101.67056508908077,22.0,"Civic, Community & Cultural Institution",Community Institution,,1999.0,,,,210427.0,55939.0,0.2658356579716481,0.0,Water Cooled Chilled Water Plant,2.0,0.75,2015-12-15,12.0,N,738078,1.42203453745817,103.759210217078,SUNGEI KADUT
"51 BISHAN STREET 13, SINGAPORE 579799",135.642813423136,25.0,82.87359210681791,18.0,101.18559966914805,21.0,"Civic, Community & Cultural Institution",Community Institution,,1997.0,,,,8463.0,5946.0,0.7025877348457994,0.0,Others,2013.0,,,10.0,N,579799,1.34947834623064,103.8507462049,BISHAN
"7 SEMBAWANG WALK, SINGAPORE 756977",76.87658406785299,15.0,91.12542158656245,20.0,92.99540994511891,20.0,"Civic, Community & Cultural Institution",Community Institution,,2017.0,,,,6013.0,1753.0,0.29153500748378514,0.0,Others,3.0,,,100.0,N,756977,1.43974475110041,103.823448129231,SEMBAWANG
"2985 JALAN BUKIT MERAH, SINGAPORE 159457",114.02418598593383,22.0,90.16703568637666,19.0,84.90530085959885,19.0,"Civic, Community & Cultural Institution",Community Institution,,1978.0,,,,7678.0,5630.0,0.7332638707996875,0.0,Others,2.0,,,100.0,N,159457,1.28205991433836,103.821769392963,BUKIT MERAH
"51 MARSILING DRIVE, SINGAPORE 739297",81.76047118584691,16.0,80.30329304606761,16.0,83.99011735855667,18.0,"Civic, Community & Cultural Institution",Community Institution,,1995.0,,,,5709.0,552.0,0.09668943772990016,0.0,Others,16.0,,,0.0,N,739297,1.44109295155058,103.775425466239,WOODLANDS
"500 UPPER BUKIT TIMAH ROAD, SINGAPORE 678106",87.0464051620091,17.0,71.4600724166744,14.0,75.90808838547953,17.0,"Civic, Community & Cultural Institution",Community Institution,,2002.0,,,,10771.0,10000.0,0.9284189026088571,0.0,Others,1.0,,,20.0,N,678106,1.36240620216434,103.76825679841,BUKIT PANJANG
"20 BISHAN STREET 22, SINGAPORE 579768",95.2760286859963,18.0,82.71421961752004,17.0,75.84785626156693,16.0,"Civic, Community & Cultural Institution",Community Institution,,1994.0,,,,6484.0,4500.0,0.6940160394818014,0.0,Others,1.0,,,0.0,N,579768,1.36093756290554,103.842574644167,BISHAN
"11 BUKIT BATOK WEST AVENUE 2, SINGAPORE 659205",68.325,13.0,72.51370967741936,15.0,75.32016129032257,15.0,"Civic, Community & Cultural Institution",Community Institution,,1995.0,,,,6200.0,355.0,0.05725806451612903,0.0,Others,20.0,,,0.0,N,659205,1.3626534376553,103.744120311371,BUKIT BATOK
