Address,2019 EUI,"2019 EUI Quartile
(Top being the least energy intensive quartile)",2020 EUI,"2020 EUI Quartile
(Top being the least energy intensive quartile)",2021 EUI,"2021 EUI Quartile 
(Top being the least energy intensive quartile)",Building Type,Main Function,Building Size,TOP/CSC Year,Green Mark Award,Year of Green Mark Award,Green Mark Version,GFA,AC Area,AC Area Percentage,No. Of Hotel Rooms,Type of Air-conditioning System,Age  of Chiller,Air-con system efficiency (kW/RT),Date of Last Audit/Health Check,LED Percentage Usage,Installation of Solar PV,Remarks,postal_code,lat,lon,plan_area
"26A AYER RAJAH CRESCENT, SINGAPORE 139963",2909.7322285714285,Bottom,3747.8753142857145,Bottom,4480.942885714286,Bottom,Commercial Building,Office,Large,2015.0,Platinum,2022.0,Existing Data Centres,35000.0,35000.0,1,0.0,Water Cooled Chilled Water Plant,3.0,,,20.0,Y,Office Building with Non-Typical Activity (e.g. Industrial Function),139963,1.29593894662169,103.790686930421,QUEENSTOWN
"20 AYER RAJAH CRESCENT, SINGAPORE 139964",1903.4607449998696,Bottom,2043.5498938694616,Bottom,2213.995752431615,Bottom,Commercial Building,Office,Large,1999.0,,,,38349.0,30679.0,0.7999947847401496,0.0,Water Cooled Chilled Water Plant,16.0,,,90.0,N,Office Building with Non-Typical Activity (e.g. Industrial Function),139964,1.29509968153534,103.789762872062,QUEENSTOWN
"6 FUSIONOPOLIS WAY, SINGAPORE 138636",1126.0738929744955,Bottom,1157.4027538726334,Bottom,1182.1218119230168,Bottom,Commercial Building,Office,Large,2015.0,Platinum,2020.0,New Building for Non-Residential buildings (version 3),19173.0,19173.0,1,0.0,Others,0.0,0.62,2020-01-10,10.0,N,Office Building with Non-Typical Activity (e.g. Industrial Function),138636,1.2991104909562,103.788840649202,QUEENSTOWN
"396 ALEXANDRA ROAD, SINGAPORE 119954",749.1887577537826,Bottom,712.9463963372608,Bottom,712.223239358036,Bottom,Commercial Building,Office,Large,1995.0,GoldPlus,2022.0,Existing Building for Non-Residential buildings (version 3),30469.0,22476.0,0.7376677934950278,0.0,Water Cooled Chilled Water Plant,5.0,0.58,2015-02-16,85.0,N,Office Building with Non-Typical Activity (e.g. Industrial Function),119954,1.27792459742623,103.802264350614,QUEENSTOWN
"5 TAMPINES CENTRAL 6, SINGAPORE 529482",615.2367591027227,Bottom,622.2435214857056,Bottom,592.9474906007923,Bottom,Commercial Building,Office,Large,1995.0,,,,39631.0,22541.0,0.5687719209709571,0.0,Water Cooled Chilled Water Plant,26.0,,,17.0,N,Office Building with Non-Typical Activity (e.g. Industrial Function),529482,1.35343481251809,103.942097061129,TAMPINES
"50 SCIENCE PARK ROAD, SINGAPORE 117406",658.3863381020506,Bottom,545.1450643776824,Bottom,509.70121649976153,Bottom,Commercial Building,Office,Large,2009.0,Certified,2021.0,Existing Non-Residental Buildings ENRB: 2017,20970.0,17310.0,0.8254649499284692,0.0,Water Cooled Chilled Water Plant,3.0,182.0,,100.0,N,Office Building with Non-Typical Activity (e.g. Industrial Function),117406,1.28588931446437,103.783512088621,QUEENSTOWN
"2 FUSIONOPOLIS WAY, SINGAPORE 138634",508.45496322190655,Bottom,503.36340324812454,Bottom,491.1820064088558,Bottom,Commercial Building,Office,Large,2015.0,Platinum,2020.0,New Building for Non-Residential buildings (version 3),41193.0,30413.0,0.7383050518291943,0.0,Others,0.0,0.62,2020-01-10,10.0,N,,138634,1.29842618269904,103.788697913817,QUEENSTOWN
"238 THOMSON ROAD, SINGAPORE 307683",307.47975906543127,Bottom,482.905750293634,Bottom,468.14900187925775,Bottom,Commercial Building,Office,Large,2000.0,GoldPlus,2018.0,Existing Building for Non-Residential buildings (version 3),42570.0,34395.0,0.49180679478380235,0.0,Water Cooled Chilled Water Plant,2.0,0.65,,0.0,N,,307683,1.32045851808392,103.843840430508,NOVENA
"11 OUTRAM ROAD, SINGAPORE 169078",454.46377574635505,Bottom,447.36173802360565,Bottom,458.8381526267068,Bottom,Commercial Building,Office,Large,1988.0,Platinum,2019.0,Existing Building for Non-Residential buildings (version 3),17284.0,15751.0,0.9113052534135617,0.0,Water Cooled Chilled Water Plant,2.0,0.59,2019-09-16,0.0,N,Office Building with Non-Typical Activity (e.g. Industrial Function),169078,1.28044812109897,103.83850336886,BUKIT MERAH
"83 CLEMENCEAU AVENUE, SINGAPORE 239920",514.4087393294168,Bottom,451.9333483722291,Bottom,422.7725586679217,Bottom,Commercial Building,Office,Large,1995.0,,,,30809.0,29361.0,0.9530007465351034,180.0,Others,0.0,,,70.0,N,,239920,1.2928043898883,103.842906944852,SINGAPORE RIVER
