Address,2019 EUI,"2019 EUI Quartile
(Top being the least energy intensive quartile)",2020 EUI,"2020 EUI Quartile
(Top being the least energy intensive quartile)",2021 EUI,"2021 EUI Quartile 
(Top being the least energy intensive quartile)",Building Type,Main Function,Building Size,TOP/CSC Year,Green Mark Award,Year of Green Mark Award,Green Mark Version,GFA,AC Area,AC Area Percentage,No. Of Hotel Rooms,Type of Air-conditioning System,Age  of Chiller,Air-con system efficiency (kW/RT),Date of Last Audit/Health Check,LED Percentage Usage,Installation of Solar PV,Remarks,postal_code,lat,lon,plan_area
"26A AYER RAJAH CRESCENT, SINGAPORE 139963",2909.7322285714285,Bottom,3747.8753142857145,Bottom,4480.942885714286,Bottom,Commercial Building,Office,Large,2015.0,Platinum,2022.0,Existing Data Centres,35000.0,35000.0,1.0,0.0,Water Cooled Chilled Water Plant,3.0,,,20.0,Y,Office Building with Non-Typical Activity (e.g. Industrial Function),139963,1.29593894662169,103.790686930421,QUEENSTOWN
"20 AYER RAJAH CRESCENT, SINGAPORE 139964",1903.4607449998696,Bottom,2043.5498938694616,Bottom,2213.995752431615,Bottom,Commercial Building,Office,Large,1999.0,,,,38349.0,30679.0,0.7999947847401496,0.0,Water Cooled Chilled Water Plant,16.0,,,90.0,N,Office Building with Non-Typical Activity (e.g. Industrial Function),139964,1.29509968153534,103.789762872062,QUEENSTOWN
"6 FUSIONOPOLIS WAY, SINGAPORE 138636",1126.0738929744955,Bottom,1157.4027538726334,Bottom,1182.1218119230168,Bottom,Commercial Building,Office,Large,2015.0,Platinum,2020.0,New Building for Non-Residential buildings (version 3),19173.0,19173.0,1.0,0.0,Others,0.0,0.62,2020-01-10,10.0,N,Office Building with Non-Typical Activity (e.g. Industrial Function),138636,1.2991104909562,103.788840649202,QUEENSTOWN
"396 ALEXANDRA ROAD, SINGAPORE 119954",749.1887577537826,Bottom,712.9463963372608,Bottom,712.223239358036,Bottom,Commercial Building,Office,Large,1995.0,GoldPlus,2022.0,Existing Building for Non-Residential buildings (version 3),30469.0,22476.0,0.7376677934950278,0.0,Water Cooled Chilled Water Plant,5.0,0.58,2015-02-16,85.0,N,Office Building with Non-Typical Activity (e.g. Industrial Function),119954,1.27792459742623,103.802264350614,QUEENSTOWN
"5 TAMPINES CENTRAL 6, SINGAPORE 529482",615.2367591027227,Bottom,622.2435214857056,Bottom,592.9474906007923,Bottom,Commercial Building,Office,Large,1995.0,,,,39631.0,22541.0,0.5687719209709571,0.0,Water Cooled Chilled Water Plant,26.0,,,17.0,N,Office Building with Non-Typical Activity (e.g. Industrial Function),529482,1.35343481251809,103.942097061129,TAMPINES
"50 SCIENCE PARK ROAD, SINGAPORE 117406",658.3863381020506,Bottom,545.1450643776824,Bottom,509.70121649976153,Bottom,Commercial Building,Office,Large,2009.0,Certified,2021.0,Existing Non-Residental Buildings ENRB: 2017,20970.0,17310.0,0.8254649499284692,0.0,Water Cooled Chilled Water Plant,3.0,182.0,,100.0,N,Office Building with Non-Typical Activity (e.g. Industrial Function),117406,1.28588931446437,103.783512088621,QUEENSTOWN
"11 OUTRAM ROAD, SINGAPORE 169078",454.46377574635505,Bottom,447.36173802360565,Bottom,458.8381526267068,Bottom,Commercial Building,Office,Large,1988.0,Platinum,2019.0,Existing Building for Non-Residential buildings (version 3),17284.0,15751.0,0.9113052534135617,0.0,Water Cooled Chilled Water Plant,2.0,0.59,2019-09-16,0.0,N,Office Building with Non-Typical Activity (e.g. Industrial Function),169078,1.28044812109897,103.83850336886,BUKIT MERAH
"2 HARBOURFRONT PLACE, SINGAPORE 098499",410.21151307103247,Bottom,347.65381568523895,Bottom,396.51403925710764,Bottom,Commercial Building,Office,Large,2008.0,GoldPlus,2021.0,Existing Building for Non-Residential buildings (version 3),22722.0,21106.0,0.9288795000440102,0.0,Water Cooled Chilled Water Plant,13.0,0.64,2020-09-30,30.0,Y,Office Building with Non-Typical Activity (e.g. Industrial Function),098499,1.26581280840254,103.818868952573,BUKIT MERAH
"31 EXETER ROAD, SINGAPORE 239732",358.5132190697586,Bottom,328.6809226196147,Bottom,315.5146433947524,Bottom,Commercial Building,Office,Large,1981.0,,,,104962.0,83076.0,0.7914864427126007,0.0,Water Cooled Chilled Water Plant,11.0,0.72,2014-11-30,50.0,N,Office Building with Non-Typical Activity (e.g. Industrial Function),239732,1.29897550209371,103.83840639869,ORCHARD
"41 SCIENCE PARK ROAD, SINGAPORE 117610",316.0363461951025,Bottom,277.1911259922155,Bottom,304.9864592846854,Bottom,Commercial Building,Office,Large,1998.0,Certified,2020.0,Existing Non-Residental Buildings ENRB: 2017,32629.0,26802.0,0.8214165313065065,0.0,Others,4.0,,,100.0,N,Office Building with Non-Typical Activity (e.g. Industrial Function),117610,1.28874338578167,103.782835762303,QUEENSTOWN
