Address,2019 EUI,"2019 Energy Ranking 
(1 being the least energy intensive building of the building type and size)",2020 EUI,"2020 Energy Ranking 
(1 being the least energy intensive building of the building type and size)",2021 EUI,"2021 Energy Ranking 
(1 being the least energy intensive building of the building type and size)",Building Type,Main Function,Building Size,TOP/CSC Year,Green Mark Award,Year of Green Mark Award,Green Mark Version,GFA,AC Area,AC Area Percentage,No. Of Hotel Rooms,Type of Air-conditioning System,Age  of Chiller,Air-con system efficiency (kW/RT),Date of Last Audit/Health Check,LED Percentage Usage,Installation of Solar PV,postal_code,lat,lon,plan_area
"11 SCIENCE PARK ROAD, SINGAPORE 117685",2140.7780532458614,15.0,2254.5300938286673,15.0,2266.9913418262263,15.0,Educational Institution,Univerisity,,1994.0,,,,13109.0,13109.0,1.0,0.0,Water Cooled Chilled Water Plant,5.0,0.62,,3.0,N,117685,1.28985887035892,103.779452691331,QUEENSTOWN
"50 NANYANG AVENUE, SINGAPORE 639798",565.5758497753037,14.0,534.8859389190476,14.0,541.1514444343208,14.0,Educational Institution,Univerisity,,1986.0,Platinum,2020.0,Existing Building for Non-Residential buildings (version 3),340237.0,246969.0,0.7258734352818771,170.0,Water Cooled Chilled Water Plant,29.0,0.65,2013-01-03,100.0,Y,639798,1.34374513337952,103.682693519594,WESTERN WATER CATCHMENT
"11 MANDALAY ROAD, SINGAPORE 308232",300.84482600178956,11.0,303.63874150564675,12.0,304.1885903605717,13.0,Educational Institution,Univerisity,,2016.0,Platinum,2019.0,Existing Building for Non-Residential buildings (version 3),41351.0,32462.0,0.7850354284056008,0.0,Water Cooled Chilled Water Plant,4.0,0.61,2018-07-09,90.0,Y,308232,1.32161991390197,103.848863762617,NOVENA
"10 KENT RIDGE CRESCENT, SINGAPORE 119260",312.9192394980991,12.0,289.41806471011813,11.0,289.2008153028662,12.0,Educational Institution,Univerisity,,2016.0,Platinum,2014.0,New Building for Non-Residential buildings (version 4.1),1094906.0,704896.0,0.6437959057672531,,District Cooling Plant,6.0,0.57,2021-03-24,100.0,N,119260,1.29608676231724,103.772348221777,QUEENSTOWN
"469A BUKIT TIMAH ROAD, SINGAPORE 259770",367.191063940542,13.0,364.4701756055363,13.0,249.52000461361015,11.0,Educational Institution,Univerisity,,1976.0,Gold,2021.0,Existing Non-Residental Buildings ENRB: 2017,34680.0,24050.0,0.6955088348419561,0.0,District Cooling Plant,1.0,0.57,2021-02-22,0.0,N,259770,1.31834209954134,103.817395994437,TANGLIN
"8 SOMAPAH ROAD, SINGAPORE 487372",190.32766196001933,9.0,166.8140342561279,10.0,174.41539429186076,10.0,Educational Institution,Univerisity,,2014.0,Platinum,2019.0,New Building for Non-Residential buildings (version 3),109703.0,57585.0,0.5249172766469468,0.0,Water Cooled Chilled Water Plant,4.0,0.65,2019-03-12,18.0,N,487372,1.3401716369901,103.962860116421,TAMPINES
"10 DOVER DRIVE, SINGAPORE 138683",192.94453455019558,10.0,159.3764777053455,9.0,164.01719217731423,9.0,Educational Institution,Univerisity,,2014.0,,,,19175.0,16700.0,0.8709256844850065,0.0,Water Cooled Chilled Water Plant,19.0,1.19,2012-11-29,40.0,N,138683,1.30100873824913,103.780125250887,QUEENSTOWN
"41 NAMLY AVENUE, SINGAPORE 267616",131.96444897147967,6.0,107.13225678227168,7.0,125.34228957567325,8.0,Educational Institution,Univerisity,,1988.0,,,,10063.0,1503.0,0.1493590380602206,0.0,Water Cooled Packaged Unit,33.0,,,35.0,N,267616,1.32601249989021,103.799936154827,BUKIT TIMAH
"50 STAMFORD ROAD, SINGAPORE 178899",136.03718428790026,7.0,105.54459586127334,6.0,110.03098036388107,7.0,Educational Institution,Univerisity,,2005.0,Platinum,2018.0,Existing Building for Non-Residential buildings (version 3),124821.0,88864.0,0.7119314858877913,0.0,Water Cooled Chilled Water Plant,6.0,0.54,2018-02-25,1.0,Y,178899,1.29509045190873,103.850566200283,MUSEUM
"461 CLEMENTI ROAD, SINGAPORE 599491",147.1547008974896,8.0,104.77684049079754,5.0,102.8871629862919,6.0,Educational Institution,Univerisity,,1999.0,,,,109862.0,87446.0,0.7959622071325845,0.0,Water Cooled Chilled Water Plant,6.0,,,5.0,N,599491,1.32913701690826,103.776185827202,BUKIT TIMAH
