Address,2019 EUI,"2019 Energy Ranking 
(1 being the least energy intensive building of the building type and size)",2020 EUI,"2020 Energy Ranking 
(1 being the least energy intensive building of the building type and size)",2021 EUI,"2021 Energy Ranking 
(1 being the least energy intensive building of the building type and size)",Building Type,Main Function,Building Size,TOP/CSC Year,Green Mark Award,Year of Green Mark Award,Green Mark Version,GFA,AC Area,AC Area Percentage,No. Of Hotel Rooms,Type of Air-conditioning System,Age  of Chiller,Air-con system efficiency (kW/RT),Date of Last Audit/Health Check,LED Percentage Usage,Installation of Solar PV,postal_code,lat,lon,plan_area
"21 AMBER ROAD, SINGAPORE 439870",476.1171937730439,13.0,411.33167759115116,13.0,461.57699201147074,12.0,Sports & Recreation Centre,Sports Complex,,2010.0,,,,9764.0,6205.0,0.6354977468250717,0.0,Others,3.0,,,25.0,N,439870,1.29929474186353,103.900584659244,MARINE PARADE
"45 TANJONG RHU ROAD, SINGAPORE 436899",259.21947661905693,12.0,214.94099735863824,12.0,231.03767266679708,11.0,Sports & Recreation Centre,Sports Complex,,1935.0,,,,20444.0,15000.0,0.7337116024261398,0.0,Others,21.0,,,30.0,N,436899,1.29671581399761,103.881703294751,KALLANG
"57 ANCHORVALE ROAD, SINGAPORE 544964",241.14399970783725,11.0,198.24990139507705,8.0,227.1958658973048,10.0,Sports & Recreation Centre,Sports Complex,,2008.0,,,,13691.0,1962.0,0.14330582134248776,0.0,Others,10.0,,,70.0,N,544964,1.39662732516879,103.886867231183,SENGKANG
"120 PASIR RIS CENTRAL, SINGAPORE 519640",226.53503166666667,10.0,208.61903750000002,11.0,202.293425,9.0,Sports & Recreation Centre,Sports Complex,,2011.0,GoldPlus,2016.0,New Building for Non-Residential buildings (version 3),12000.0,4000.0,0.3333333333333333,0.0,Others,7.0,30.0,2018-06-28,40.0,Y,519640,1.37405935580675,103.951850332313,PASIR RIS
"3 STADIUM DRIVE, SINGAPORE 397630",197.60338744230674,9.0,200.8415862545286,9.0,171.9396004069546,8.0,Sports & Recreation Centre,Sports Complex,,2014.0,GoldPlus,2012.0,New Building for Non-Residential buildings (version 3),241796.0,100810.0,0.41692170259226785,0.0,Water Cooled Chilled Water Plant,7.0,0.73,2021-05-09,13.0,Y,397630,1.30325257450447,103.8753598324,KALLANG
"297 LORONG 6 TOA PAYOH, SINGAPORE 319389",116.32753545359749,6.0,204.9263281193161,10.0,150.52170461986177,7.0,Sports & Recreation Centre,Sports Complex,,1973.0,,,,13745.0,1460.0,0.07612095933263817,0.0,Others,10.0,,,20.0,N,319389,1.33021801545927,103.85195095117,TOA PAYOH
"1 CHOA CHU KANG STREET 53, SINGAPORE 689236",124.26946488117292,7.0,96.4094108929233,7.0,94.35192928597894,6.0,Sports & Recreation Centre,Sports Complex,,2000.0,,,,18893.0,865.0,0.045784152860847936,0.0,Others,10.0,,,0.0,N,689236,1.39059559281482,103.748024129362,CHOA CHU KANG
"2 STADIUM WALK, SINGAPORE 397691",143.08709234519145,8.0,76.7370954305637,5.0,87.72618863965937,5.0,Sports & Recreation Centre,Sports Complex,,1989.0,,,,32411.0,20000.0,0.6170744500323964,0.0,Water Cooled Chilled Water Plant,17.0,0.91,2013-02-08,20.0,N,397691,1.30075730368459,103.874360415059,KALLANG
"20 JURONG WEST STREET 93, SINGAPORE 648965",99.42558819575154,4.0,84.13555391234203,6.0,83.75061844581876,4.0,Sports & Recreation Centre,Sports Complex,,2006.0,,,,29752.0,1735.0,0.05831540736757193,0.0,Others,0.0,,,0.0,N,648965,1.33841806489757,103.693768902249,JURONG WEST
"100 TYRWHITT ROAD, SINGAPORE 207542",102.19755138312902,5.0,65.16338239985417,3.0,57.749603518206264,3.0,Sports & Recreation Centre,Sports Complex,,2006.0,,,,21943.0,1598.0,0.07282504671193547,0.0,Others,5.0,29.0,2020-08-20,0.0,N,207542,1.30952190174503,103.860211336261,KALLANG
