planning_area,2015_com,2016_com,2017_com,2018_com,2019_com,2020_com,2021_com,2015_res,2016_res,2017_res,2018_res,2019_res,2020_res,2021_res
ANG MO KIO,70564.78,86694.59,84227.54,82060.88,88765.65,75254.18,76950.64,10579.2,12923.3,12814.42,21896.44,21708.6,24492.98,23690.03
BEDOK,101540.08,104840.3,101913.71,93344.41,87001.49,97807.0,78864.74,30398.91,37264.14,35881.71,46559.3,46743.03,51818.58,51060.49
BISHAN,40367.97,24306.12,24271.57,24356.27,42277.23,40012.02,42039.85,7241.57,10500.34,10319.8,13152.2,13164.87,14794.23,14372.2
BUKIT BATOK,10071.8,14117.95,13877.7,14198.3,23369.39,20540.54,21008.52,8239.18,11800.14,11638.46,19067.77,20136.06,23176.72,23083.83
BUKIT MERAH,120410.69,350934.67,353173.39,346824.51,368940.9,345045.48,339269.9,9595.56,13498.92,13458.33,22184.23,22759.31,25065.29,24904.03
BUKIT PANJANG,12080.85,13799.5,13799.5,13799.5,30072.54,26487.78,27955.33,6425.87,11923.65,11565.39,16896.01,17151.93,19122.21,18739.42
BUKIT TIMAH,47856.41,98302.75,95787.53,91095.13,82684.94,68319.83,70743.97,26527.83,27741.58,26631.66,26510.22,26728.05,29247.47,28684.26
CENTRAL WATER CATCHMENT,4037.59,4037.59,4037.59,4037.59,10216.45,8481.17,9565.51,,,,,,,
CHANGI,15549.45,94138.0,89806.69,89568.55,113218.23,86214.44,104767.77,142.57,145.79,139.93,176.99,178.82,195.13,189.89
CHOA CHU KANG,23884.87,23776.49,23568.94,22699.94,42869.37,37277.17,42019.68,6554.49,14924.98,14470.72,22031.47,22705.53,25177.45,25027.3
CLEMENTI,18734.65,35028.01,28128.26,27636.55,27016.6,23829.5,24749.43,7523.63,9054.32,8996.04,14052.84,14313.28,15895.68,16022.52
DOWNTOWN CORE,898921.73,1154024.7,1128637.36,1109047.91,1461349.76,1254606.21,1208218.38,,,,,,,
GEYLANG,71744.83,71142.24,69539.28,67925.29,111749.8,92688.15,96251.85,12401.47,14583.36,14033.17,19711.81,19710.74,21177.38,20630.68
HOUGANG,13095.92,40279.03,39277.75,37974.05,57515.32,54498.03,55216.48,14074.11,21536.6,20754.94,30982.66,31140.48,35219.98,34491.62
JURONG EAST,173857.82,186874.6,181799.38,179819.72,257405.3,237508.1,241014.73,3784.68,6460.31,6192.27,9845.61,10287.72,11139.77,10801.8
JURONG WEST,26352.26,30788.94,31724.96,31633.63,43162.48,38054.45,40375.27,9805.42,21629.63,21054.58,32027.43,33729.5,36899.88,36309.15
KALLANG,81217.14,138271.83,132508.01,129494.28,187548.14,171479.1,167602.87,10197.08,12615.89,12162.02,16997.81,17398.62,18824.42,18285.53
LIM CHU KANG,465.12,654.14,654.14,654.14,1443.83,1369.4,1300.66,,,,,,,
MANDAI,449.39,449.39,449.39,449.39,398.56,1312.19,1434.99,399.92,405.86,381.82,366.97,377.94,425.82,417.55
MARINE PARADE,63795.85,66074.62,66900.72,65818.83,71227.01,51769.76,56489.6,10185.97,11189.19,10689.08,11491.97,11498.5,12558.46,12323.32
MUSEUM,76008.32,61911.18,56055.5,52290.18,97311.0,74242.19,80631.66,429.97,437.61,404.34,421.14,455.98,487.8,485.6
NEWTON,17360.79,48132.19,46167.67,45600.66,57072.06,49932.91,51370.44,6172.32,6333.37,6167.14,6211.38,6450.05,6879.11,6676.58
NOVENA,76785.3,244768.95,239985.06,239050.15,239308.46,229256.26,232757.3,12474.91,13694.55,12956.44,14323.29,14569.35,15813.06,15598.49
ORCHARD,396159.72,554817.57,537144.28,519525.99,570116.98,445091.53,485962.13,1097.42,1094.58,1103.56,1160.06,1202.2,1253.96,1199.39
OUTRAM,118333.2,108057.28,103439.57,99982.56,148297.8,120779.68,117115.28,1704.37,1997.38,1874.48,2920.51,2707.95,2830.18,2774.3
PASIR RIS,6042.2,33636.02,33493.87,34162.48,38701.82,32497.59,33944.06,9154.61,18056.27,17665.01,21916.04,21885.19,24639.95,24044.69
PAYA LEBAR,1884.66,2294.32,2201.05,2030.31,2294.33,2205.06,2167.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PIONEER,235.81,235.81,235.81,235.81,587.61,555.11,507.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PUNGGOL,299.87,23241.13,25255.0,25766.31,29836.36,27604.71,29109.08,3486.16,10804.34,11597.38,20107.52,20937.53,24297.29,24685.51
QUEENSTOWN,299768.63,741292.72,707845.04,722593.74,1178866.09,1109376.2,1094988.39,7821.73,9504.95,9185.44,14782.58,14567.3,16488.38,16365.31
RIVER VALLEY,1195.89,3198.91,3137.41,3140.03,1524.61,1524.61,1524.61,7259.19,7565.28,7107.1,7159.15,7472.52,7809.93,7884.7
ROCHOR,126595.0,123432.53,120138.29,122212.76,156896.33,128432.18,133459.1,2035.25,2272.26,2214.82,3203.61,3284.71,3340.12,3272.26
SELETAR,106.77,106.77,106.77,106.77,270.21,226.43,250.78,111.1,108.4,98.45,87.68,89.1,90.63,95.47
SEMBAWANG,18660.22,11609.52,10548.29,10204.77,24588.74,22637.83,22321.18,3244.42,7686.87,8132.86,11802.73,12305.51,14484.11,14629.95
SENGKANG,20177.35,21219.92,21193.17,22410.48,115039.62,112240.33,115008.76,6983.83,18861.94,19246.74,29324.26,30164.7,34444.18,34418.06
SERANGOON,40957.36,42606.96,41828.39,41239.24,42420.07,38054.01,40618.04,15310.25,18676.22,18110.44,21591.08,21908.58,24602.82,24200.02
SINGAPORE RIVER,157928.92,163905.21,160610.06,159920.92,159023.84,140498.32,134516.38,2269.9,2349.87,2216.25,2190.22,2294.04,2481.91,2415.1
SOUTHERN ISLANDS,51330.63,182940.21,179540.12,176905.35,196619.83,150663.27,154456.56,3308.64,3432.62,3218.38,3253.33,3402.75,3640.5,3698.13
SUNGEI KADUT,30406.7,31266.86,29939.54,28825.35,28356.76,21783.98,18185.1,181.33,204.71,194.46,185.9,178.94,196.05,194.97
TAMPINES,102440.45,656233.87,313344.54,508268.63,389653.49,358799.04,349345.38,10975.22,21783.63,21196.23,33215.09,33156.33,37786.5,37804.76
